experiment,rep,p_crim,p_neon,,read_crim,read_neon
test3,1,0,1,,6277,1000462
test3,2,0,1,,2182,985750
test3,3,0,1,,3002,1001030
test3,4,0,1,,3001,965143
test3,1,0.2,0.8,,26731,693571
test3,2,0.2,0.8,,29207,750034
test3,3,0.2,0.8,,23729,621242
test3,4,0.2,0.8,,30301,722095
test3,1,0.5,0.5,,49396,483538
test3,2,0.5,0.5,,57588,484567
test3,3,0.5,0.5,,53212,482273
test3,4,0.5,0.5,,52677,471455
test3,1,0.8,0.2,,72581,247530
test3,2,0.8,0.2,,79700,259414
test3,3,0.8,0.2,,80210,270654
test3,4,0.8,0.2,,84626,287613
test3,1,1,0,,112423,31526
test3,2,1,0,,108083,33596
test3,3,1,0,,116792,33886
test3,4,1,0,,117090,32833
test3,1,0,0,,3302.8,27709.2
test2,1,1,0,,1642158,45829
test2,2,1,0,,1464283,41914
test2,3,1,0,,1408268,38653
test2,1,0.9,0.1,,1118371,358172
test2,2,0.9,0.1,,930990,302779
test2,3,0.9,0.1,,1186917,410377
test2,1,0.8,0.2,,965178,670671
test2,2,0.8,0.2,,722756,530140
test2,3,0.8,0.2,,901476,633236
test2,1,0.7,0.3,,852810,950666
test2,2,0.7,0.3,,652407,728419
test2,3,0.7,0.3,,790773,895467
test2,1,0.6,0.4,,628054,1010388
test2,2,0.6,0.4,,629752,1066654
test2,3,0.6,0.4,,691582,1223049
test2,1,0.5,0.5,,538709,1294395
test2,2,0.5,0.5,,529291,1215556
test2,3,0.5,0.5,,564877,1414956
test2,1,0.4,0.6,,428893,1571292
test2,2,0.4,0.6,,403657,1448144
test2,3,0.4,0.6,,460891,1666431
test2,1,0.3,0.7,,286521,1633613
test2,2,0.3,0.7,,285175,1623710
test2,3,0.3,0.7,,287594,1701804
test2,1,0.2,0.8,,239872,2343648
test2,2,0.2,0.8,,231951,2182618
test2,3,0.2,0.8,,176061,1730658
test2,1,0.1,0.9,,134508,2684297
test2,2,0.1,0.9,,98809,2308751
test2,3,0.1,0.9,,104333,2271194
test2,1,0,1,,3088,2984640
test2,2,0,1,,5833,3922033
test2,3,0,1,,1716,3685169
test2,1,0,0,,2059,15055
test2,2,0,0,,2746,16818
test2,3,0,0,,3089,15465
